id_annotation,image_id,category_id,bbox,area,segmentation,iscrowd,id_image,license,file_name,height,width,date_captured,id,name,supercategory,bbox_width,bbox_height,bbox_aspect_ratio,resolution
0,0,2,"[370, 178, 25, 38.889]",972.222,"[[395, 216.667, 393.75, 210, 374.375, 177.778, 370, 183.333, 375.625, 215.556, 392.5, 216.667, 395, 216.667]]",0,0,1,8919109-hyundai-hyundai_elite_i20_2018-2020_asta_cvt-2018-minor_scratch-dents_jpeg.rf.1cd99d002920297a49143588dd9bfde9.jpg,640,640,2023-11-03T15:39:36+00:00,2,minor-scratch,severity-damage,25.0,38.889,0.6428553061276967,409600
1,0,2,"[381, 293, 77.5, 42.222]",3272.222,"[[456.875, 335.556, 458.75, 327.778, 445.625, 302.222, 435.625, 293.333, 431.875, 293.333, 430.625, 300, 400.625, 300, 395.625, 308.889, 381.25, 312.222, 382.5, 327.778, 386.875, 333.333, 398.125, 333.333, 401.875, 328.889, 403.125, 331.111, 426.875, 324.444, 435.625, 326.667, 445, 334.444, 456.875, 335.556]]",0,0,1,8919109-hyundai-hyundai_elite_i20_2018-2020_asta_cvt-2018-minor_scratch-dents_jpeg.rf.1cd99d002920297a49143588dd9bfde9.jpg,640,640,2023-11-03T15:39:36+00:00,2,minor-scratch,severity-damage,77.5,42.222,1.8355359765051396,409600
2,0,2,"[344, 249, 14.375, 11.111]",159.722,"[[358.125, 260, 358.75, 254.444, 353.125, 248.889, 344.375, 253.333, 345, 258.889, 358.125, 260]]",0,0,1,8919109-hyundai-hyundai_elite_i20_2018-2020_asta_cvt-2018-minor_scratch-dents_jpeg.rf.1cd99d002920297a49143588dd9bfde9.jpg,640,640,2023-11-03T15:39:36+00:00,2,minor-scratch,severity-damage,14.375,11.111,1.2937629376293762,409600
3,0,2,"[416, 362, 37.5, 35.556]",1333.333,"[[434.375, 397.778, 439.375, 393.333, 443.125, 395.556, 446.25, 390, 447.5, 376.667, 453.125, 373.333, 453.75, 367.778, 435.625, 366.667, 430.625, 362.222, 419.375, 371.111, 416.25, 383.333, 423.125, 395.556, 427.5, 396.667, 434.375, 397.778]]",0,0,1,8919109-hyundai-hyundai_elite_i20_2018-2020_asta_cvt-2018-minor_scratch-dents_jpeg.rf.1cd99d002920297a49143588dd9bfde9.jpg,640,640,2023-11-03T15:39:36+00:00,2,minor-scratch,severity-damage,37.5,35.556,1.054674316571043,409600
4,1,2,"[469, 370, 6.25, 12.5]",78.125,"[[475, 380.833, 475, 374.167, 471.875, 370, 468.75, 375.833, 470, 382.5, 475, 380.833]]",0,1,1,maruti-suzuki-maruti-suzuki-xl6-2019-1719045995_03_jpeg.rf.20752f804494097f64f1cec06abe2696.jpg,640,640,2023-11-03T15:39:36+00:00,2,minor-scratch,severity-damage,6.25,12.5,0.5,409600
5,1,2,"[399, 382, 58.85, 14.358]",844.943,"[[457.6, 393.697, 445.964, 388.267, 418.618, 388.655, 406.875, 381.667, 398.75, 387.5, 408.436, 395.248, 447.418, 396.024, 457.6, 393.697]]",0,1,1,maruti-suzuki-maruti-suzuki-xl6-2019-1719045995_03_jpeg.rf.20752f804494097f64f1cec06abe2696.jpg,640,640,2023-11-03T15:39:36+00:00,2,minor-scratch,severity-damage,58.85,14.358,4.098760273018526,409600
6,2,2,"[234, 159, 61.25, 19.167]",1173.958,"[[278.125, 170, 274.375, 165, 266.875, 166.667, 249.375, 163.333, 245.625, 160, 233.75, 159.167, 236.875, 163.333, 243.125, 163.333, 248.125, 166.667, 249.375, 170, 263.125, 170, 289.375, 178.333, 295, 177.5, 286.875, 170, 278.125, 170]]",0,2,1,9240246-maruti-maruti_suzuki_xl6_2019-2022_zeta_mt-2019-minor_dent-dents_jpeg.rf.1cac4b16f89e5fe62ab239586255078e.jpg,640,640,2023-11-03T15:39:36+00:00,2,minor-scratch,severity-damage,61.25,19.167,3.1955965983200287,409600
7,3,2,"[288, 262, 11.875, 43.333]",514.583,"[[300, 305.556, 300, 301.111, 296.25, 281.111, 291.25, 265.556, 288.125, 262.222, 288.75, 276.667, 297.5, 305.556, 300, 305.556]]",0,3,1,8707294-maruti-maruti_suzuki_swift_2017-2021_zxi_plus-2018-minor_scratch-dents_jpeg.rf.1fc57ab22ad389e61aaca68455cf99d2.jpg,640,640,2023-11-03T15:39:36+00:00,2,minor-scratch,severity-damage,11.875,43.333,0.27404056954284267,409600
8,3,2,"[478, 382, 122.5, 38.889]",4763.889,"[[598.125, 417.778, 600, 414.444, 598.125, 411.111, 581.875, 408.889, 563.125, 400, 543.125, 400, 524.375, 395.556, 514.375, 386.667, 501.875, 382.222, 490.625, 384.444, 485.625, 393.333, 484.375, 391.111, 477.5, 394.444, 482.5, 401.111, 483.125, 406.667, 488.125, 406.667, 490.625, 400, 494.375, 397.778, 499.375, 397.778, 503.125, 402.222, 511.875, 402.222, 514.375, 411.111, 519.375, 404.444, 523.125, 411.111, 530.625, 408.889, 535.625, 415.556, 583.75, 421.111, 598.125, 417.778]]",0,3,1,8707294-maruti-maruti_suzuki_swift_2017-2021_zxi_plus-2018-minor_scratch-dents_jpeg.rf.1fc57ab22ad389e61aaca68455cf99d2.jpg,640,640,2023-11-03T15:39:36+00:00,2,minor-scratch,severity-damage,122.5,38.889,3.149991000025714,409600
9,3,2,"[295, 227, 179.167, 138.519]",24817.901,"[[474.167, 365.185, 370, 290, 350.625, 271.111, 341.875, 266.667, 298.125, 226.667, 295, 227.778, 296.25, 236.667, 303.125, 248.889, 310.625, 255.556, 326.875, 260, 367.5, 292.222, 474.167, 365.185]]",0,3,1,8707294-maruti-maruti_suzuki_swift_2017-2021_zxi_plus-2018-minor_scratch-dents_jpeg.rf.1fc57ab22ad389e61aaca68455cf99d2.jpg,640,640,2023-11-03T15:39:36+00:00,2,minor-scratch,severity-damage,179.167,138.519,1.2934471083389283,409600
